,species,countryCode,decimalLatitude,decimalLongitude,year
0,Lithobates catesbeianus,KR,36.792028,127.078742,2022.0
1,Lithobates catesbeianus,KR,36.791347,127.076417,2022.0
2,Lithobates catesbeianus,KR,33.285821,126.284582,2022.0
3,Lithobates catesbeianus,KR,33.285787,126.284678,2022.0
4,Lithobates catesbeianus,KR,33.281139,126.287048,2022.0
5,Lithobates catesbeianus,KR,33.271428,126.26365,2022.0
6,Lithobates catesbeianus,KR,33.271372,126.263668,2022.0
7,Lithobates catesbeianus,KR,33.271597,126.263704,2022.0
8,Lithobates catesbeianus,KR,37.764485,126.519465,2020.0
9,Lithobates catesbeianus,KR,35.966407,126.908032,2020.0
10,Lithobates catesbeianus,KR,36.811739,126.890706,2020.0
11,Lithobates catesbeianus,KR,37.0301,126.884588,2020.0
12,Lithobates catesbeianus,KR,37.769612,126.392966,2020.0
13,Lithobates catesbeianus,KR,37.010228,126.9038,2020.0
14,Lithobates catesbeianus,KR,36.008876,127.01319,2022.0
15,Lithobates catesbeianus,KR,37.091035,126.730131,2020.0
16,Lithobates catesbeianus,KR,37.113609,127.552993,2020.0
17,Lithobates catesbeianus,KR,37.125016,126.744541,2020.0
18,Lithobates catesbeianus,KR,37.695366,126.392285,2020.0
19,Lithobates catesbeianus,KR,36.479421,128.24244,2020.0
20,Lithobates catesbeianus,KR,35.985667,127.046008,2022.0
21,Lithobates catesbeianus,KR,35.984434,127.04502,2022.0
22,Lithobates catesbeianus,KR,33.318487,126.18218,2022.0
23,Lithobates catesbeianus,KR,33.285925,126.284619,2021.0
24,Lithobates catesbeianus,KR,33.285851,126.28467,2021.0
25,Lithobates catesbeianus,KR,33.285876,126.284612,2021.0
26,Lithobates catesbeianus,KR,33.285892,126.284664,2021.0
27,Lithobates catesbeianus,KR,33.285901,126.284646,2021.0
28,Lithobates catesbeianus,KR,33.285967,126.284669,2021.0
29,Lithobates catesbeianus,KR,36.024257,126.992198,2021.0
30,Lithobates catesbeianus,KR,36.023582,126.995781,2021.0
31,Lithobates catesbeianus,KR,33.277368,126.270241,2021.0
32,Lithobates catesbeianus,KR,37.557592,127.312655,2021.0
33,Lithobates catesbeianus,KR,36.722947,127.485314,2013.0
34,Lithobates catesbeianus,KR,33.346917,126.748139,2013.0
35,Lithobates catesbeianus,KR,36.798897,127.5137,2013.0
36,Lithobates catesbeianus,KR,36.691606,127.340114,2013.0
37,Lithobates catesbeianus,KR,35.396064,127.140717,2013.0
38,Lithobates catesbeianus,KR,35.689536,126.689033,2013.0
39,Lithobates catesbeianus,KR,33.258472,126.278722,2013.0
40,Lithobates catesbeianus,KR,35.515794,127.008961,2013.0
41,Lithobates catesbeianus,KR,37.019864,126.491217,2009.0
42,Lithobates catesbeianus,KR,35.011967,127.986297,2009.0
43,Lithobates catesbeianus,KR,35.606817,126.610411,2013.0
44,Lithobates catesbeianus,KR,36.731939,127.579164,2013.0
45,Lithobates catesbeianus,KR,35.538247,126.812992,2013.0
46,Lithobates catesbeianus,KR,35.643994,126.784694,2013.0
47,Lithobates catesbeianus,KR,35.642569,126.946331,2013.0
48,Lithobates catesbeianus,KR,36.655978,127.311619,2013.0
49,Lithobates catesbeianus,KR,35.002178,127.967317,2009.0
